attendance,quiz1,quiz2,quiz3,quiz4,assignment1,assignment2,assignment3,assignment4,midterm,final_exam,pass_fail,needs_support
60.45,79.94,74.49,75.54,82.31,73.15,96.06,89.52,92.21,83.7,65.75,1,1
85.28,94.22,91.56,83.51,98.71,86.86,84.62,78.76,100.0,70.22,78.95,1,0
40.0,14.02,3.99,0.94,17.76,21.76,5.62,8.51,25.25,4.35,2.46,0,1
40.0,10.29,4.73,2.56,9.83,0.0,9.08,3.74,11.45,2.6,0.0,0,1
79.49,100.0,81.9,96.48,73.2,99.69,97.22,88.87,100.0,81.83,91.96,1,0
40.0,16.42,40.81,29.77,17.07,18.99,35.13,13.59,36.84,4.86,20.43,0,1
59.54,40.6,55.29,64.05,57.2,62.22,79.29,70.55,76.32,54.2,56.16,1,1
40.0,15.46,12.93,31.8,19.3,29.27,24.6,11.54,27.02,23.89,17.8,0,1
40.0,16.97,33.64,22.7,17.65,22.67,24.56,30.42,32.57,42.31,15.72,0,1
94.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.05,98.32,1,0
51.37,69.89,55.69,37.91,47.96,46.41,48.21,53.6,53.99,52.21,66.41,1,1
88.57,83.46,90.87,88.47,100.0,100.0,96.38,100.0,84.58,66.96,93.26,1,0
41.76,47.79,53.02,31.21,42.51,41.37,43.88,52.36,36.17,40.13,33.77,0,1
40.0,29.77,44.95,20.24,25.51,32.62,28.7,37.99,16.78,23.42,27.4,0,1
76.15,84.77,94.41,100.0,100.0,100.0,91.39,100.0,95.16,95.87,100.0,1,0
85.91,76.22,86.54,94.02,75.41,100.0,92.32,94.63,90.76,89.91,75.17,1,0
56.18,64.33,53.0,58.13,50.14,67.56,59.03,49.98,45.17,45.24,43.63,0,1
66.08,60.58,92.19,62.51,77.7,63.71,64.73,72.08,72.44,51.56,82.5,1,0
40.0,33.87,54.66,43.09,30.97,46.26,43.89,35.29,56.18,38.98,40.62,0,1
52.99,71.6,46.08,51.82,39.46,50.54,54.58,71.92,68.6,53.02,50.16,1,1
77.7,97.31,69.31,66.92,83.81,94.94,85.72,100.0,73.5,72.69,89.57,1,0
81.23,75.72,62.13,78.13,77.07,92.14,92.83,69.72,80.74,63.2,65.69,1,0
68.01,54.56,77.36,62.46,51.83,68.97,65.69,76.56,79.17,80.06,79.54,1,0
40.0,26.59,32.16,23.11,31.56,42.05,45.79,41.24,46.45,0.0,54.35,1,1
65.76,89.89,68.84,72.92,79.45,79.71,75.5,91.78,83.45,72.44,66.26,1,0
43.2,52.34,59.42,46.85,52.78,65.85,52.42,62.09,63.89,32.64,55.35,1,1
51.84,46.21,76.55,52.14,50.69,48.38,55.26,60.8,66.96,50.2,71.5,1,1
66.8,60.73,90.51,57.82,99.34,86.86,85.82,87.88,87.13,77.43,77.1,1,0
83.62,80.5,93.33,100.0,100.0,83.97,91.71,83.84,95.46,87.62,81.84,1,0
56.08,44.15,39.11,45.54,49.62,51.02,50.29,50.23,44.29,34.95,30.88,0,1
54.68,69.52,50.31,59.83,48.69,79.2,66.24,56.16,59.21,60.49,69.29,1,1
40.0,26.96,20.32,15.55,44.44,48.51,44.23,52.71,36.65,30.24,28.86,0,1
81.32,63.89,82.76,87.78,59.51,87.44,90.01,100.0,82.36,98.17,80.41,1,0
46.86,31.12,47.33,22.05,28.85,27.93,48.9,40.33,57.75,36.91,36.11,0,1
77.91,70.89,65.84,89.28,73.17,71.98,95.89,89.45,91.21,82.18,80.35,1,0
60.27,61.72,50.65,53.36,43.84,57.9,60.95,60.65,69.41,59.42,55.47,1,1
40.71,43.72,46.15,50.88,44.88,54.48,27.48,52.93,52.85,34.07,50.99,1,1
40.0,37.22,37.66,34.26,44.36,41.31,47.62,46.36,49.83,53.62,50.83,1,1
50.33,53.59,40.24,20.09,40.54,54.14,43.05,50.75,35.32,68.73,34.07,0,1
76.39,76.18,85.53,62.9,58.12,75.85,96.36,74.26,85.04,75.7,87.12,1,0
82.13,86.9,71.58,75.33,97.06,84.8,86.44,86.56,92.31,74.56,77.23,1,0
94.08,82.57,98.24,100.0,85.99,97.14,91.68,100.0,97.28,93.05,100.0,1,0
40.0,5.83,46.06,14.46,23.28,28.28,19.77,37.8,32.93,26.68,33.87,0,1
41.22,38.91,37.66,37.75,46.73,48.23,53.51,43.78,46.08,57.03,41.01,0,1
89.81,78.67,88.82,82.41,85.11,100.0,100.0,100.0,91.8,75.59,93.69,1,0
85.64,71.23,98.06,95.56,75.18,100.0,84.97,100.0,92.76,100.0,86.53,1,0
50.52,38.78,36.11,44.26,42.59,45.66,56.87,54.75,27.1,51.9,39.97,0,1
40.0,26.29,39.14,9.76,17.03,27.62,22.54,34.23,40.6,37.04,15.63,0,1
40.0,1.04,22.12,11.66,5.29,0.0,23.63,18.96,0.0,13.06,25.99,0,1
76.01,74.9,87.37,81.61,75.42,81.44,100.0,86.65,88.65,72.86,59.58,1,0
51.39,58.6,71.83,51.35,66.82,58.04,69.53,71.67,62.42,58.11,59.62,1,1
85.66,89.55,91.82,100.0,87.2,86.39,96.52,100.0,74.12,73.91,94.22,1,0
94.83,92.01,95.17,90.47,100.0,100.0,100.0,100.0,100.0,97.62,99.39,1,0
40.0,17.86,5.23,25.55,27.17,39.49,24.96,38.79,29.08,31.77,28.39,0,1
40.0,43.72,60.11,28.81,39.72,55.78,46.6,44.12,53.67,54.67,27.59,0,1
62.13,74.54,71.29,71.62,86.66,76.38,84.11,72.63,56.6,59.28,81.55,1,1
43.03,36.94,62.32,42.94,58.34,63.34,50.34,60.97,51.47,45.79,49.89,0,1
61.32,60.44,30.95,51.57,60.6,44.78,58.12,59.23,60.39,61.63,54.41,1,1
40.0,47.43,33.61,38.06,42.28,45.48,40.48,49.97,45.53,40.76,47.85,0,1
63.97,76.09,62.99,86.84,89.55,77.14,91.65,97.74,83.22,75.03,79.75,1,1
100.0,100.0,98.73,100.0,69.8,100.0,100.0,99.02,100.0,97.6,100.0,1,0
54.41,32.44,60.71,57.9,71.25,66.35,56.48,63.02,55.52,38.62,50.35,1,1
96.65,81.41,92.9,88.47,99.18,100.0,100.0,99.54,94.75,91.66,87.13,1,0
60.83,57.49,50.24,45.44,72.33,67.57,56.37,76.18,65.15,63.78,80.14,1,1
94.39,96.21,93.19,88.94,97.13,100.0,100.0,86.57,100.0,100.0,99.25,1,0
62.66,83.9,66.37,79.7,86.12,74.51,96.05,97.03,100.0,88.84,93.64,1,1
40.0,22.46,33.72,22.29,52.36,53.91,54.66,36.92,42.36,25.38,38.5,0,1
40.0,0.0,0.0,9.65,16.16,20.13,1.3,4.63,0.0,0.0,0.0,0,1
40.0,15.98,19.21,19.31,25.96,21.06,25.5,9.35,12.9,0.59,18.35,0,1
45.52,50.82,47.78,32.71,59.98,56.13,48.64,55.86,76.18,54.0,61.5,1,1
44.31,58.99,74.02,52.71,59.13,66.3,58.37,64.35,61.1,67.84,55.82,1,1
40.0,54.53,46.2,43.42,46.82,52.29,60.9,58.29,47.33,40.34,54.0,1,1
73.81,62.13,58.76,77.69,60.92,78.86,75.34,77.04,75.36,56.54,70.55,1,0
40.0,35.81,29.99,30.69,35.99,43.29,41.36,42.68,47.31,29.88,35.24,0,1
40.0,39.79,24.76,29.51,38.07,33.94,20.03,41.14,26.15,29.78,33.83,0,1
47.55,59.97,52.96,65.94,48.14,64.76,73.83,53.63,63.39,47.01,66.77,1,1
47.14,31.91,38.32,47.72,27.84,49.77,36.23,37.91,40.74,20.02,29.98,0,1
52.66,49.27,40.79,22.23,45.27,55.79,45.08,53.15,52.16,31.95,57.2,1,1
83.55,64.32,76.64,64.69,64.57,80.11,95.36,86.35,86.14,84.2,67.35,1,0
40.0,26.6,46.55,23.4,51.72,41.83,39.11,33.27,28.99,12.37,36.48,0,1
75.37,74.48,68.68,89.27,71.26,79.82,79.84,77.6,74.25,75.17,75.01,1,0
88.71,100.0,100.0,97.29,100.0,100.0,100.0,98.57,98.14,100.0,98.44,1,0
40.0,38.41,25.08,38.95,49.15,44.0,49.14,52.66,31.9,23.29,22.44,0,1
40.0,11.58,29.5,47.89,27.72,39.39,27.72,50.16,17.5,18.89,26.83,0,1
87.26,83.03,85.87,78.31,66.38,89.07,82.26,90.96,87.7,72.85,87.43,1,0
40.0,29.27,32.39,19.89,38.44,41.15,43.11,36.17,30.41,30.16,27.53,0,1
57.7,49.6,48.63,48.13,53.01,46.65,58.45,36.37,59.27,30.6,54.44,1,1
80.35,82.93,87.71,100.0,66.23,80.43,94.53,93.1,84.54,96.8,77.81,1,0
40.0,40.96,47.94,53.5,37.16,55.73,37.28,51.29,55.38,17.5,44.04,0,1
65.5,63.97,53.24,67.1,45.14,51.17,57.04,64.46,67.03,50.74,49.78,0,1
58.82,69.49,61.98,40.44,65.99,52.49,60.74,52.82,42.0,55.36,66.29,1,1
54.04,63.73,45.33,46.1,68.91,70.83,63.28,68.68,54.59,51.68,65.28,1,1
76.75,73.24,72.81,66.14,79.73,81.11,79.69,88.84,69.77,67.38,61.57,1,0
40.0,21.68,18.06,17.06,40.58,20.96,28.05,45.35,28.79,5.59,16.92,0,1
89.35,78.96,88.09,94.83,82.59,89.57,86.6,97.84,100.0,82.86,85.8,1,0
76.17,55.72,69.46,72.54,67.75,75.07,86.97,84.3,63.18,76.54,76.69,1,0
44.88,43.87,44.37,27.2,50.94,54.82,45.81,43.42,42.85,18.98,39.37,0,1
40.0,37.58,58.75,37.05,42.13,46.28,36.64,52.49,42.95,43.14,44.92,0,1
49.42,42.8,56.78,64.83,44.15,56.87,58.22,58.58,43.75,50.44,64.13,1,1
40.0,56.2,61.46,50.66,64.43,63.49,47.65,63.9,53.51,71.99,73.28,1,1
40.0,13.08,32.13,25.38,27.34,48.82,31.68,33.33,41.61,17.81,33.63,0,1
40.0,58.32,63.48,48.32,46.31,66.04,56.99,60.62,58.68,24.36,50.69,1,1
40.0,38.64,53.14,21.27,37.31,30.16,29.28,43.52,38.47,51.51,29.76,0,1
40.0,32.34,30.9,31.29,39.4,46.83,30.58,28.23,58.24,40.95,29.59,0,1
54.08,64.04,52.53,57.4,51.53,71.69,65.43,67.9,45.01,62.6,61.03,1,1
72.81,64.17,66.46,66.23,41.99,66.36,57.3,66.23,61.45,60.09,75.22,1,0
40.0,2.11,12.0,0.0,0.0,9.96,0.0,0.0,3.51,0.0,17.62,0,1
72.36,85.34,84.18,74.36,77.72,80.21,78.49,68.32,86.44,76.59,65.78,1,0
40.0,32.09,12.35,26.65,40.77,25.93,22.63,19.61,21.61,12.42,31.18,0,1
49.72,46.82,50.12,29.87,41.84,45.43,36.45,38.69,50.63,27.47,45.48,0,1
80.54,73.07,68.37,58.83,81.96,70.94,73.58,92.78,88.83,72.95,73.77,1,0
40.0,31.62,48.8,30.68,18.54,46.78,46.63,52.29,44.75,47.75,56.78,1,1
40.0,56.0,45.67,26.68,44.35,28.87,54.62,50.07,51.21,57.84,40.01,0,1
43.5,45.38,21.48,43.28,38.64,31.42,44.1,32.56,55.5,26.23,31.25,0,1
78.35,83.59,52.71,75.04,80.42,73.8,84.22,89.13,69.09,89.36,69.93,1,0
51.19,54.64,43.57,62.48,55.41,58.12,53.39,55.95,55.88,41.56,50.76,1,1
82.32,87.61,91.56,76.31,70.78,79.48,84.76,83.17,98.77,67.15,79.02,1,0
77.29,64.77,63.74,75.58,61.14,86.65,79.75,73.74,87.72,66.81,74.23,1,0
40.0,14.66,31.15,42.39,33.45,27.69,12.34,27.18,35.54,44.37,31.2,0,1
72.12,57.47,66.51,96.87,57.69,80.31,86.84,65.68,76.76,54.85,64.13,1,0
84.88,95.92,100.0,88.58,86.54,96.87,100.0,100.0,100.0,79.98,86.89,1,0
40.0,8.72,13.42,17.94,28.85,35.34,28.07,30.22,37.9,16.31,0.0,0,1
52.23,70.32,52.59,60.27,57.85,44.39,61.61,68.53,56.23,54.46,57.0,1,1
62.97,52.04,52.83,55.51,73.19,62.08,61.69,68.84,60.13,68.07,67.83,1,1
70.28,71.19,72.75,74.36,70.67,78.55,67.46,86.01,79.49,76.24,62.21,1,0
40.0,11.63,23.33,16.43,16.22,19.41,34.54,27.9,32.01,8.65,25.27,0,1
48.72,73.79,65.64,53.95,67.67,52.46,57.3,57.37,54.62,31.7,58.61,1,1
79.38,68.31,75.62,85.54,86.91,93.4,85.51,93.57,89.25,79.86,61.84,1,0
97.76,91.65,86.35,83.51,76.11,91.25,76.67,95.29,90.1,89.04,81.32,1,0
80.67,100.0,99.89,99.93,73.95,97.97,95.93,100.0,88.44,59.61,91.08,1,0
73.93,76.9,67.31,72.75,47.53,72.14,78.69,77.84,91.2,76.4,71.06,1,0
68.09,97.01,89.61,89.85,69.96,100.0,88.27,84.3,100.0,73.29,80.02,1,0
40.0,48.63,62.96,45.6,47.67,55.96,62.13,45.92,66.33,47.63,61.68,1,1
42.68,34.69,43.37,32.09,60.33,20.51,27.28,47.9,41.07,39.86,28.19,0,1
83.58,81.1,63.09,74.0,57.46,79.97,57.4,85.48,72.77,64.33,85.35,1,0
40.0,26.84,19.66,18.33,17.46,37.55,23.12,48.95,38.98,16.46,22.51,0,1
57.31,50.84,61.99,32.25,52.53,53.69,53.79,63.76,63.6,44.93,33.66,0,1
40.0,0.0,8.79,0.0,4.58,0.0,2.2,10.7,3.38,0.0,0.0,0,1
40.0,32.5,14.72,17.21,10.07,25.73,33.87,37.52,26.73,36.93,29.56,0,1
48.76,55.07,54.45,46.16,41.12,34.31,36.64,33.88,54.62,19.32,40.19,0,1
42.36,43.21,42.25,58.28,58.98,58.59,62.19,68.48,67.96,58.98,32.77,0,1
75.57,89.14,92.77,85.29,79.18,70.12,83.69,70.83,78.47,100.0,69.23,1,0
77.88,100.0,89.5,98.95,95.65,90.37,100.0,98.19,97.12,91.06,100.0,1,0
40.0,7.5,0.26,27.05,12.36,27.26,32.01,30.73,17.63,34.23,31.66,0,1
40.0,53.25,34.92,36.1,31.94,40.92,42.97,45.42,51.77,37.31,32.6,0,1
52.19,62.8,76.85,66.56,69.89,71.09,78.62,64.53,55.07,62.92,80.39,1,1
40.0,0.0,0.0,2.58,11.04,18.8,30.77,14.84,8.3,0.0,8.36,0,1
64.13,50.14,39.09,67.43,55.6,63.1,56.13,74.18,56.62,76.88,56.5,1,1
63.12,66.22,68.66,46.58,72.45,65.03,56.35,67.38,65.45,63.0,65.74,1,1
40.0,37.69,57.03,27.16,14.61,49.5,35.34,29.86,41.63,21.84,54.23,1,1
40.0,26.15,8.99,16.73,24.02,29.16,23.71,31.14,39.38,26.57,24.3,0,1
61.83,49.22,56.34,52.42,83.69,66.61,60.57,78.73,56.95,50.51,77.27,1,1
40.0,32.78,37.81,37.73,15.79,47.06,48.7,40.25,48.48,38.43,18.33,0,1
87.45,81.79,60.8,77.57,70.32,83.12,78.14,77.93,77.42,59.18,74.97,1,0
42.16,47.57,30.16,38.83,30.35,22.9,29.69,40.16,20.5,28.03,31.79,0,1
85.11,100.0,67.61,90.79,95.12,100.0,91.62,86.24,96.4,89.46,98.98,1,0
44.07,28.36,35.08,35.14,29.61,28.65,34.85,48.25,35.2,51.82,46.64,0,1
40.0,34.63,25.17,23.66,27.58,21.97,23.94,19.2,27.01,46.41,5.28,0,1
40.0,17.65,25.28,24.17,29.08,42.38,35.69,45.0,36.03,33.71,23.15,0,1
73.41,71.15,83.37,64.34,74.07,75.55,77.52,68.03,80.29,62.35,51.53,1,0
68.31,83.81,73.9,72.63,57.99,77.99,70.66,69.7,79.87,46.67,55.13,1,0
94.0,95.13,82.23,93.3,100.0,94.34,80.52,96.36,90.99,78.58,75.07,1,0
54.91,71.96,47.65,56.99,61.49,67.04,74.18,60.54,72.23,71.8,60.19,1,1
86.91,74.61,100.0,100.0,87.39,86.06,100.0,92.33,95.52,99.33,96.62,1,0
40.0,38.12,30.36,27.33,41.06,45.18,38.95,46.86,46.13,38.17,27.13,0,1
73.33,77.77,86.39,82.11,82.53,75.95,87.59,86.34,70.22,82.2,73.71,1,0
77.19,88.05,81.79,67.25,100.0,82.88,83.79,83.78,76.01,77.53,80.49,1,0
62.7,63.99,48.26,70.05,72.08,61.28,70.51,67.43,55.63,44.32,64.92,1,1
40.0,30.22,41.24,48.32,14.91,22.0,40.37,32.41,28.32,51.21,14.73,0,1
40.0,26.67,6.38,16.39,25.26,30.91,28.05,26.82,17.51,16.29,0.0,0,1
72.36,57.85,55.41,42.65,63.37,83.67,65.64,79.37,67.25,63.89,64.82,1,0
40.0,0.0,0.0,10.3,0.0,0.0,0.0,8.77,0.0,0.0,0.0,0,1
90.57,81.35,90.02,78.0,88.66,100.0,90.23,93.62,100.0,85.68,80.46,1,0
58.34,53.46,76.9,62.6,70.35,77.85,60.59,68.22,57.33,38.92,58.61,1,1
86.33,100.0,79.93,96.57,100.0,100.0,86.7,87.83,85.48,100.0,94.67,1,0
40.0,24.88,0.0,22.19,3.27,17.41,8.94,17.09,23.51,0.0,4.49,0,1
55.06,52.96,51.39,47.83,58.31,73.34,72.47,79.43,56.35,47.96,52.65,1,1
49.02,34.25,58.39,42.62,49.52,62.24,55.43,60.24,38.38,47.0,52.38,1,1
60.31,56.26,53.45,52.96,43.6,53.12,49.72,69.68,48.22,62.66,37.8,0,1
46.73,27.92,54.4,63.3,43.67,65.59,56.71,56.12,66.49,57.36,42.01,0,1
60.01,36.68,46.51,42.28,53.8,64.85,64.33,54.31,61.84,43.58,50.98,1,1
40.0,38.61,39.71,14.64,37.51,45.45,38.8,44.56,33.54,35.76,36.52,0,1
40.0,20.95,24.1,33.51,24.72,15.64,22.04,44.05,7.57,21.31,4.92,0,1
40.0,0.0,22.0,14.54,16.54,28.05,4.87,18.93,34.64,18.82,7.85,0,1
46.48,56.72,50.62,36.33,40.54,66.98,74.81,63.69,61.22,29.42,49.78,0,1
49.6,44.59,50.66,58.02,37.22,60.82,43.65,30.15,46.38,57.34,53.03,1,1
96.18,84.57,95.72,100.0,87.67,96.86,95.6,89.4,94.71,95.23,90.92,1,0
40.0,34.87,50.18,53.82,33.4,42.94,35.25,46.39,43.98,41.9,38.92,0,1
95.23,62.68,94.91,79.55,90.39,87.43,85.36,88.09,88.13,84.8,87.38,1,0
85.8,88.72,78.99,74.36,70.8,76.89,96.42,92.7,85.11,81.52,77.66,1,0
40.0,19.65,20.95,4.48,18.83,20.06,29.34,23.3,41.86,33.38,40.36,0,1
46.54,18.88,48.57,50.85,59.39,53.96,38.86,29.96,54.12,42.87,40.86,0,1
40.0,13.21,11.49,18.83,18.11,26.82,32.15,22.2,15.37,8.74,14.05,0,1
40.0,42.92,42.54,53.29,33.81,56.39,44.7,51.41,67.32,32.94,39.36,0,1
40.0,42.52,58.45,31.82,17.4,57.04,39.3,57.31,47.07,26.61,39.54,0,1
96.75,100.0,100.0,99.49,94.82,100.0,100.0,99.17,100.0,74.38,74.11,1,0
100.0,100.0,98.57,95.89,80.1,100.0,97.64,91.76,94.0,70.89,94.96,1,0
40.0,49.06,19.69,54.65,49.46,57.51,55.41,45.01,55.61,59.16,40.38,0,1
88.52,79.52,81.84,87.37,85.35,71.47,94.96,80.24,74.85,65.79,81.47,1,0
40.0,7.32,26.03,33.72,21.05,18.55,35.5,28.27,27.5,11.27,3.59,0,1
58.96,58.91,62.6,53.18,57.09,77.46,74.19,71.3,62.74,54.12,82.17,1,1
40.0,0.0,11.74,8.87,10.64,1.56,19.87,3.06,11.72,0.0,8.82,0,1
100.0,100.0,100.0,100.0,93.46,100.0,89.27,100.0,100.0,81.87,88.46,1,0
46.75,52.87,60.38,54.48,68.62,62.89,50.82,55.29,49.65,50.71,32.61,0,1
40.0,60.23,42.76,32.05,41.38,46.22,41.56,39.88,49.42,36.02,51.03,1,1
76.98,72.76,82.04,79.52,87.71,89.98,78.41,86.19,78.49,67.79,79.82,1,0
48.53,26.93,42.92,24.25,60.13,42.74,43.5,58.79,45.34,39.93,43.21,0,1
70.36,67.69,57.73,47.26,65.5,54.76,71.81,72.84,51.9,51.26,53.61,1,0
61.28,55.05,64.76,54.97,40.51,46.42,63.06,68.27,69.54,56.33,41.51,0,1
40.0,49.26,63.27,57.03,51.67,57.43,45.91,55.65,38.44,55.25,32.66,0,1
41.04,31.9,46.49,37.69,41.63,35.02,46.45,35.61,54.41,42.15,32.6,0,1
51.82,60.23,55.98,59.9,52.63,50.9,53.6,53.73,56.11,67.62,49.78,0,1
100.0,100.0,96.18,100.0,100.0,96.6,92.62,98.37,100.0,96.04,83.24,1,0
40.0,19.78,49.63,11.97,24.2,36.24,34.26,28.09,41.99,26.65,27.8,0,1
40.0,39.98,34.15,44.19,25.03,35.03,43.95,48.53,37.63,45.43,24.9,0,1
40.0,20.3,6.36,4.72,9.99,17.43,18.04,7.71,14.82,6.15,10.49,0,1
100.0,86.08,99.25,100.0,79.99,100.0,81.4,98.71,100.0,88.45,100.0,1,0
60.38,42.28,50.62,52.59,37.34,40.7,50.91,48.6,59.02,36.96,49.88,0,1
89.2,100.0,85.94,96.77,84.32,89.71,89.19,100.0,98.45,69.51,84.66,1,0
40.0,0.0,0.0,8.14,1.29,18.99,1.87,3.13,26.11,0.0,0.0,0,1
100.0,76.09,81.61,74.98,100.0,84.56,85.32,94.83,87.83,74.39,100.0,1,0
40.0,20.32,24.45,22.0,15.9,9.0,12.08,25.57,27.43,3.3,5.95,0,1
88.41,83.52,89.17,90.8,81.38,92.47,87.71,83.52,79.9,92.46,92.24,1,0
51.39,51.11,50.58,47.83,46.63,63.02,52.59,77.0,69.84,45.46,44.28,0,1
40.0,35.33,54.95,34.1,50.87,31.61,43.77,42.31,47.65,23.49,35.32,0,1
40.0,35.87,23.62,25.8,35.46,44.16,36.52,42.61,34.19,35.49,26.36,0,1
44.28,43.81,51.43,39.2,30.91,54.44,52.58,46.32,38.4,46.95,41.4,0,1
76.78,60.15,67.27,100.0,74.0,81.52,93.69,76.19,79.58,64.44,71.85,1,0
83.03,74.89,75.38,99.32,80.92,99.91,85.14,94.54,73.18,89.41,75.45,1,0
86.83,75.99,75.73,69.12,77.43,88.01,80.98,68.91,85.23,87.65,90.39,1,0
68.36,55.3,58.76,55.06,48.92,61.96,69.01,73.89,67.27,75.4,68.72,1,0
40.0,49.17,45.35,55.68,67.3,43.45,52.19,46.65,51.01,29.3,35.57,0,1
66.83,55.82,29.77,44.54,36.14,39.1,44.69,45.31,51.89,47.58,34.77,0,1
72.59,70.06,72.08,81.32,78.33,77.94,83.14,86.41,74.75,59.69,70.63,1,0
55.67,48.63,48.53,55.07,65.25,71.23,57.31,61.61,56.64,60.45,72.13,1,1
40.0,3.66,0.98,0.0,8.65,11.48,8.58,0.99,1.41,0.86,0.0,0,1
40.0,20.43,15.03,27.3,24.83,8.8,37.64,29.59,9.93,22.44,25.24,0,1
79.87,73.38,76.2,70.71,60.06,75.19,75.42,78.88,71.16,66.58,62.01,1,0
40.0,31.52,59.05,46.42,49.16,32.5,42.85,42.58,51.42,46.63,63.84,1,1
58.13,41.11,68.28,82.98,48.85,70.59,66.76,66.52,55.79,59.19,72.48,1,1
54.02,48.57,41.32,38.86,42.0,42.14,46.58,50.19,51.57,38.49,36.5,0,1
65.51,52.78,70.31,75.29,70.48,68.89,76.25,74.71,76.13,92.13,87.25,1,0
40.0,30.18,0.0,19.24,30.68,22.97,22.69,26.75,21.86,26.35,20.76,0,1
40.0,0.0,1.43,2.27,3.06,5.03,0.0,3.24,9.88,0.0,2.01,0,1
47.76,36.39,56.64,70.33,46.91,56.12,61.72,53.54,57.1,41.75,51.6,1,1
49.11,36.65,43.23,35.94,49.72,57.18,49.65,48.28,50.86,43.08,32.36,0,1
55.85,88.12,81.55,69.34,62.69,74.01,93.21,75.63,83.18,76.58,80.98,1,1
87.03,86.06,90.13,85.62,86.23,91.36,83.09,83.14,82.23,87.28,75.47,1,0
90.56,91.23,100.0,80.03,96.45,90.3,97.17,98.35,100.0,88.04,80.95,1,0
69.44,50.54,46.92,61.3,45.47,74.15,55.21,46.72,71.93,74.85,38.25,0,1
81.06,99.25,90.49,88.69,72.15,100.0,96.97,86.93,98.28,100.0,93.34,1,0
76.54,68.65,51.99,46.79,57.67,67.84,62.54,68.13,58.89,45.76,65.16,1,1
